Var,LOCATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
0,Adelaide,20,13,27,39,61,80,76,70,59,42,30,30,547
1,Alice Springs,40,40,35,20,18,14,17,5,7,21,33,41,291
2,Brisbane,115,145,108,104,109,65,46,41,33,81,98,136,1080
3,Canberra,55,53,45,41,38,45,48,46,52,51,69,61,603
4,Darwin,466,373,335,108,25,2,1,6,17,65,137,276,1812
5,Hobart,44,36,39,43,36,43,47,61,59,56,48,56,569
6,Melbourne,40,37,39,38,36,39,39,43,44,51,61,51,518
7,Perth,18,14,21,36,87,128,148,121,82,40,26,10,731
8,Broome,191,201,110,28,16,15,10,2,1,1,10,76,658
9,Sydney,80,119,88,119,107,100,73,74,62,64,85,74,1044
10,Townsville,250,292,110,75,33,19,14,21,12,26,79,141,1072
11,Cairns,379,448,378,215,89,41,31,29,35,48,112,178,198